*test
式島切子    田所あずさ
千波花音    日高里菜
天上院騎咲    佐倉綾音
荒木光太郎    豊崎愛生



*終わりのセラフ


百夜優一郎    入野自由
百夜ミカエラ    小野賢章
一瀬グレン    中村悠一
フェリド・バートリー    櫻井孝宏
柊シノア    早見沙織
早乙女与一    岡本信彦
君月士方    石川界人
三宮三葉    井口裕香
クルル・ツェペシ    悠木碧
柊暮人    前野智昭
柊深夜    鈴木達央
クローリー・ユースフォード    鈴村健一
花依小百合    種﨑敦美
雪見時雨    石川由依
五士典人    小野大輔
十条美十    嶋村侑


*ハイスクールD×D BorN


兵藤一誠    梶裕貴
リアス・グレモリー    日笠陽子
アーシア・アルジェント    浅倉杏美
姫島朱乃    伊藤静
塔城小猫    竹達彩奈
木場祐斗    野島健児
ゼノヴィア    種田梨沙
紫藤イリナ    内田真礼
ギャスパー・ヴラディ    佐倉綾音
ロイスヴァイセ    加隈亜衣
アザゼル    小山力也
ヴァーリ    逢坂良太
サイラオーグ・バアル    中村悠一


*ガンスリンガー ストラトス


風澄徹    阿部敦
片桐鏡華    金元寿子
片桐鏡磨    西田雅一
レミー・オードナー    沢城みゆき
竜胆しづね    植田佳奈
草陰稜    保志総一朗
羅漢堂旭    小山力也
オルガ・ジェンテイン    大原さやか
アーロン・バロウズ    子安武人
ジョナサン・サイズモア    小林由美子
ξ988    藤田咲
真加部主水    秋元羊介
リューシャ    早見沙織
篠生茉莉    伊瀬茉莉也
シュリニヴァーサ・セン    大川透
水潟九美    水樹奈々


*Fate/stay night Unlimited Blade Works 2ndシーズン


衛宮士郎    杉山紀彰
遠坂凛    植田佳奈
セイバー    川澄綾子
アーチャー    諏訪部順一
間桐桜    下屋則子
イリヤスフィール・フォン・アインツベルン    門脇舞以
葛木宗一郎    てらそままさき
ランサー    神奈延年
キャスター    田中敦子
アサシン    三木眞一郎
ライダー    浅川悠
藤村大河    伊藤美紀
間桐慎二    神谷浩史
柳洞一成    真殿光昭
言峰綺礼    中田譲治
衛宮切嗣    小山力也
金髪のサーヴァント    関智一


*プラスティック･メモリーズ


水柿ツカサ    内匠靖明
アイラ    雨宮天
絹島ミチル    赤﨑千夏
ザック    矢作紗友里
桑乃実カヅキ    豊口めぐみ
コンスタンス    日野聡
シェリー    愛美
海松エル    上坂すみれ
山野辺タカオ    飛田展男
土器レン    拝真之介
標ヤスタカ    津田健次郎


*うたの☆プリンスさまっ♪マジLOVEレボリューションズ


七海春歌    沢城みゆき
一十木音也    寺島拓篤
聖川真斗    鈴村健一
四ノ宮那月    谷山紀章
一ノ瀬トキヤ    宮野真守
神宮寺レン    諏訪部順一
来栖翔    下野紘
愛島セシル    鳥海浩輔
寿嶺二    森久保祥太郎
黒崎蘭丸    鈴木達央
美風藍    蒼井翔太
カミュ    前野智昭
月宮林檎    中村悠一
日向龍也    遊佐浩二
渋谷友千香    今井由香
シャイニング早乙女    若本規夫


*てさぐれ！部活もの すぴんおふ プルプルんシャルムと遊ぼう


鈴木結愛    西明日香
佐藤陽菜    明坂聡美
高橋葵    荻野可鈴
田中心春    大橋彩香
園田萌舞子    上田麗奈
有栖川凛    三上枝織
十六夜花音    大久保瑠美
宇佐美陽菜    小松未可子
円城寺結衣    高森奈津美
小此木友美    上坂すみれ



*血界戦線



レオナルド・ウォッチ    阪口大助
クラウス・V・ラインヘルツ    小山力也
ザップ・レンフロ    中井和哉
チェイン・皇    小林ゆう
スティーブン・A・スターフェイズ    宮本充
K・K    折笠愛
ギルベルト・F・アルトシュタイン    小川真司
ソニック〈音速猿〉    内田雄馬
ブリッツ・T・エイブラムス    大塚明夫
パトリック    石塚運昇
ドグ・ハマー    宮野真守
デルドロ・ブローディ    藤原啓治
ツェッド・オブライエン    緑川光
堕落王フェムト    石田彰
ミシェーラ・ウォッチ    水樹奈々
ビビアン    沢城みゆき
マスター    各務立基
ホワイト    釘宮理恵


*デュエル・マスターズ VSR


切札勝太    小林由美子
ぶっちゃけ    石野竜三
べんちゃん    平田絵里子
ホカベン    菅原雅芳
滝川るる    丹下桜
ルシファー    水沢史絵
コジロー    檜山修之
熱血ナレーター    佐藤せつじ



*アルスラーン戦記



アルスラーン    小林裕介
ダリューン    細谷佳正
ナルサス    浪川大輔
エラム    花江夏樹
ギーヴ    KENN
ファランギース    坂本真綾
銀仮面卿    梶裕貴
アンドラゴラス三世    菅生隆之
タハミーネ    田中敦子
ヴァフリーズ    津田英三
カーラーン    大川透
キシュワード    安元洋貴
クバード    三宅健太
シャプール    小西克幸
イノケンティス七世    桜井敏治
ギスカール    子安武人
ボダン    斎藤志郎


*ベイビーステップ 第2シリーズ


丸尾栄一郎    村田太志
鷹崎奈津    寿美菜子
江川逞    浪川大輔
影山小次郎    寺島拓篤
深沢諭吉    下野紘
宮川卓也    柿原徹也
大林良    前野智昭
荒谷寛    羽多野渉
田島勇樹    優希
三浦コーチ    楠大典
佐々木姫子    瀬戸麻沙美
越水成雪    下妻由幸
岩佐博水    浅沼晋太郎
池爽児    細谷佳正
難波江優    櫻井孝宏
岡田隆行    伊藤健太郎
井出義明    KENN
青井コーチ    鳥海浩輔
アレックス    神谷浩史
マーシャ    潘めぐみ



*SHOW BY ROCK!!


チュチュ    上坂すみれ
モア    佐倉綾音
レトリー    沼倉愛美
クロウ    谷山紀章
アイオーン    内山昂輝
ヤイバ    柿原徹也
ロム    細谷佳正
ダル太夫    潘めぐみ
阿    早見沙織
吽    松井恵理子
シュウ✩ゾー    宮野真守
カイ    逢坂良太
リク    村瀬歩



*雨色ココア


都倉碧    下野紘
岩瀬啓一    緑川光
桜木涼太    宮野真守
古賀シオン    平川大輔
天見浩司    堀川りょう


*攻殻機動隊ARISE ALTERNATIVE ARCHITECTURE


草薙素子    坂本真綾
新巻大輔    塾一久
バトー    松田健一郎
トグサ    新垣樽助
イシカワ    咲野俊介
イシカワ    檀臣幸
サイトー    中國卓郎
パズ    上田燿司
ボーマ    中井和哉
ロジコマ    沢城みゆき




*ハロー！！きんいろモザイク


大宮忍    西明日香
アリス・カータレット    田中真奈美
小路綾    種田梨沙
猪熊陽子    内山夕実
九条カレン    東山奈央
大宮勇    田村ゆかり
松原穂乃花    諏訪彩花
烏丸さくら    佐藤聡美
久世橋朱里    大西沙織
猪熊空太    潘めぐみ
猪熊美月    村川梨衣



*怪盗ジョーカー シーズン2


ジョーカー    村瀬歩
ハチ    小林由美子
シルバーハート    島田敏
鬼山警部    龍田直樹
黒崎ギンコ    原優子
白井モモ    桜井春名
スペード(キング)    下野紘
ダークアイ    小野健一
ミスター金有    飛田展男
カネ子    金田アキ
DJピーコック    矢部雅史


*てーきゅう 4期



押本ユリ    渡部優衣
